id,customer_id,order_date,amount_rm,product_family
order-0029-1,cust-0029,2026-02-16,8518.67,firestop
order-0029-2,cust-0029,2025-08-26,6305.08,power_tools
order-0029-3,cust-0029,2025-08-13,6992.83,fasteners
order-0029-4,cust-0029,2025-05-11,10214.88,power_tools
order-0030-1,cust-0030,2026-01-14,3475.63,firestop
order-0030-2,cust-0030,2025-11-06,1783.18,power_tools
order-0030-3,cust-0030,2025-06-13,2358.71,firestop
order-0030-4,cust-0030,2026-03-04,1226.19,fasteners
order-0031-1,cust-0031,2025-06-29,12209.68,fasteners
order-0031-2,cust-0031,2025-11-08,21658.19,anchors
order-0031-3,cust-0031,2026-04-17,17171.0,fasteners
order-0032-1,cust-0032,2025-05-20,2486.94,anchors
order-0033-1,cust-0033,2026-02-14,17364.46,anchors
order-0033-2,cust-0033,2026-01-15,23267.11,measuring
order-0033-3,cust-0033,2026-02-02,13452.86,anchors
order-0033-4,cust-0033,2025-09-15,7872.25,power_tools
order-0034-1,cust-0034,2026-01-27,13974.66,measuring
order-0034-2,cust-0034,2025-10-24,18819.06,firestop
order-0034-3,cust-0034,2025-08-13,7390.3,power_tools
order-0034-4,cust-0034,2025-09-22,18997.69,anchors
order-0035-1,cust-0035,2025-11-06,10054.99,power_tools
order-0035-2,cust-0035,2026-01-28,8648.48,power_tools
order-0036-1,cust-0036,2025-10-20,16059.55,fasteners
order-0036-2,cust-0036,2025-12-15,8533.33,power_tools
order-0036-3,cust-0036,2025-09-04,16715.48,firestop
order-0036-4,cust-0036,2025-06-13,10323.09,power_tools
order-0036-5,cust-0036,2025-07-26,15722.93,firestop
order-0036-6,cust-0036,2025-05-20,8979.62,fasteners
order-0037-1,cust-0037,2026-03-19,2398.81,fasteners
order-0037-2,cust-0037,2025-08-25,1785.95,anchors
order-0037-3,cust-0037,2025-12-31,2121.99,power_tools
order-0037-4,cust-0037,2025-09-28,2313.19,measuring
order-0037-5,cust-0037,2026-03-14,1192.34,measuring
order-0038-1,cust-0038,2026-04-17,7764.56,fasteners
order-0038-2,cust-0038,2025-12-22,6645.84,power_tools
order-0038-3,cust-0038,2025-12-30,8114.14,measuring
order-0038-4,cust-0038,2025-08-22,4258.26,firestop
order-0038-5,cust-0038,2026-02-12,5334.48,power_tools
order-0038-6,cust-0038,2025-10-18,10424.58,firestop
order-0039-1,cust-0039,2025-07-15,7105.17,power_tools
order-0039-2,cust-0039,2025-10-14,3442.53,fasteners
order-0039-3,cust-0039,2025-12-29,5815.61,power_tools
order-0039-4,cust-0039,2025-12-15,10395.74,firestop
order-0039-5,cust-0039,2026-04-11,4700.4,firestop
order-0039-6,cust-0039,2025-08-29,6368.88,firestop
order-0040-1,cust-0040,2025-06-03,19268.26,measuring
order-0040-2,cust-0040,2025-12-28,13100.87,power_tools
order-0040-3,cust-0040,2025-07-12,9981.44,power_tools
order-0040-4,cust-0040,2025-06-30,13800.79,firestop
order-0040-5,cust-0040,2026-04-02,12163.26,measuring
order-0040-6,cust-0040,2025-11-20,17411.85,anchors
order-0041-1,cust-0041,2025-08-29,7011.54,fasteners
order-0041-2,cust-0041,2025-05-11,9706.99,measuring
order-0042-1,cust-0042,2025-11-26,2222.32,anchors
order-0042-2,cust-0042,2025-07-01,2136.17,firestop
order-0042-3,cust-0042,2025-08-24,1918.15,power_tools
order-0042-4,cust-0042,2025-08-29,3142.19,power_tools
order-0042-5,cust-0042,2026-04-15,3725.27,fasteners
order-0042-6,cust-0042,2025-12-03,1551.74,firestop
order-0043-1,cust-0043,2025-12-01,9691.43,power_tools
order-0043-2,cust-0043,2026-02-01,14470.51,firestop
order-0043-3,cust-0043,2025-12-07,14805.62,measuring
order-0043-4,cust-0043,2026-03-06,14051.92,firestop
order-0043-5,cust-0043,2025-07-07,17142.56,fasteners
order-0044-1,cust-0044,2025-07-21,15482.7,fasteners
order-0045-1,cust-0045,2026-04-28,7162.0,anchors
order-0046-1,cust-0046,2025-06-02,3884.41,firestop
order-0046-2,cust-0046,2025-08-21,3725.48,power_tools
order-0046-3,cust-0046,2026-04-17,3484.17,measuring
order-0046-4,cust-0046,2025-08-15,1818.62,power_tools
order-0046-5,cust-0046,2025-06-25,1315.06,measuring
order-0047-1,cust-0047,2025-05-27,11719.02,firestop
order-0047-2,cust-0047,2025-09-29,7937.22,fasteners
order-0047-3,cust-0047,2026-01-12,16225.03,power_tools
order-0048-1,cust-0048,2025-06-27,10078.04,measuring
order-0048-2,cust-0048,2026-04-08,4103.97,anchors
order-0048-3,cust-0048,2026-04-08,9304.56,fasteners
order-0049-1,cust-0049,2025-12-20,17446.01,fasteners
order-0049-2,cust-0049,2025-10-14,4531.99,fasteners
order-0049-3,cust-0049,2025-06-27,14763.69,anchors
order-0049-4,cust-0049,2025-08-22,6376.43,firestop
order-0049-5,cust-0049,2026-02-27,4809.42,anchors
order-0050-1,cust-0050,2025-10-08,5682.47,measuring
order-0050-2,cust-0050,2025-06-21,10764.62,measuring
order-0050-3,cust-0050,2025-11-28,8541.46,measuring
order-0050-4,cust-0050,2025-08-05,15854.04,firestop
order-0050-5,cust-0050,2025-11-03,11395.02,measuring
order-0051-1,cust-0051,2025-10-26,4256.46,power_tools
order-0051-2,cust-0051,2026-03-19,5841.48,power_tools
order-0052-1,cust-0052,2025-11-28,7278.49,power_tools
order-0053-1,cust-0053,2025-07-22,5056.8,anchors
order-0053-2,cust-0053,2025-11-24,2586.67,fasteners
order-0053-3,cust-0053,2025-05-10,3962.81,power_tools
order-0053-4,cust-0053,2025-05-24,7259.13,power_tools
order-0053-5,cust-0053,2025-07-26,4465.06,fasteners
order-0053-6,cust-0053,2025-06-15,4665.3,power_tools
order-0054-1,cust-0054,2025-09-01,6434.08,power_tools
order-0054-2,cust-0054,2026-03-04,6316.95,fasteners
order-0054-3,cust-0054,2026-02-19,9300.38,fasteners
order-0055-1,cust-0055,2025-06-14,10274.44,anchors
order-0055-2,cust-0055,2026-04-01,7962.53,fasteners
order-0055-3,cust-0055,2025-06-26,10234.42,power_tools
order-0056-1,cust-0056,2025-07-31,2680.9,power_tools
order-0056-2,cust-0056,2025-12-08,1153.54,anchors
order-0057-1,cust-0057,2026-04-24,5976.12,firestop
order-0057-2,cust-0057,2025-08-26,10549.58,power_tools
order-0058-1,cust-0058,2025-06-05,6528.39,power_tools
order-0058-2,cust-0058,2026-01-05,3493.25,firestop
order-0058-3,cust-0058,2025-07-21,7997.83,power_tools
order-0059-1,cust-0059,2025-06-19,1078.63,fasteners
order-0060-1,cust-0060,2025-11-29,4933.25,fasteners
order-0060-2,cust-0060,2026-04-27,5870.5,fasteners
order-0060-3,cust-0060,2025-10-15,6072.37,power_tools
order-0061-1,cust-0061,2025-06-02,8839.27,fasteners
order-0061-2,cust-0061,2025-09-16,10990.83,measuring
order-0062-1,cust-0062,2025-12-12,4992.65,fasteners
order-0062-2,cust-0062,2026-04-08,11730.16,firestop
order-0063-1,cust-0063,2025-08-21,14725.37,power_tools
order-0063-2,cust-0063,2026-04-03,19007.72,power_tools
order-0063-3,cust-0063,2025-07-21,15395.96,power_tools
order-0063-4,cust-0063,2025-08-08,8902.88,firestop
order-0063-5,cust-0063,2025-11-22,13038.98,power_tools
order-0063-6,cust-0063,2025-07-31,4983.46,measuring
order-0064-1,cust-0064,2025-11-16,8230.57,firestop
order-0064-2,cust-0064,2025-11-23,6212.46,power_tools
order-0064-3,cust-0064,2026-04-14,13787.91,fasteners
order-0064-4,cust-0064,2025-12-25,10948.66,anchors
order-0065-1,cust-0065,2025-11-23,4729.97,measuring
order-0065-2,cust-0065,2025-06-11,8827.86,anchors
order-0065-3,cust-0065,2025-09-23,16614.76,anchors
order-0065-4,cust-0065,2025-09-22,15445.76,anchors
order-0065-5,cust-0065,2025-06-08,7956.07,fasteners
order-0066-1,cust-0066,2026-03-23,6931.79,anchors
order-0067-1,cust-0067,2026-03-07,4306.63,power_tools
order-0067-2,cust-0067,2026-04-05,4873.34,measuring
order-0067-3,cust-0067,2025-07-07,5127.47,fasteners
order-0068-1,cust-0068,2025-09-19,6154.51,measuring
order-0068-2,cust-0068,2025-11-16,4142.26,fasteners
order-0068-3,cust-0068,2026-02-25,12773.6,fasteners
order-0068-4,cust-0068,2026-04-01,8922.03,firestop
order-0069-1,cust-0069,2025-08-03,8002.23,firestop
order-0069-2,cust-0069,2025-05-12,5024.91,anchors
order-0069-3,cust-0069,2025-09-26,5431.64,firestop
order-0069-4,cust-0069,2026-03-04,13720.93,firestop
order-0070-1,cust-0070,2026-03-16,15035.09,measuring
order-0070-2,cust-0070,2025-10-03,7660.75,anchors
order-0071-1,cust-0071,2025-05-31,9587.52,fasteners
order-0071-2,cust-0071,2026-01-10,14303.9,anchors
order-0072-1,cust-0072,2025-06-20,2193.48,measuring
order-0072-2,cust-0072,2026-01-04,2700.41,firestop
order-0073-1,cust-0073,2025-06-09,3103.13,firestop
order-0073-2,cust-0073,2025-10-22,2887.37,fasteners
order-0073-3,cust-0073,2026-04-27,5345.3,anchors
order-0073-4,cust-0073,2026-01-17,6099.35,power_tools
order-0073-5,cust-0073,2025-11-09,6773.91,fasteners
order-0073-6,cust-0073,2025-09-14,4450.79,anchors
order-0074-1,cust-0074,2025-05-22,12755.35,firestop
order-0074-2,cust-0074,2025-12-07,12603.56,fasteners
order-0074-3,cust-0074,2025-12-25,8271.88,firestop
order-0074-4,cust-0074,2025-12-27,10199.93,fasteners
order-0074-5,cust-0074,2025-10-16,18637.27,power_tools
order-0074-6,cust-0074,2026-04-20,9633.59,firestop
order-0075-1,cust-0075,2026-03-05,1969.25,power_tools
order-0076-1,cust-0076,2025-09-04,6940.5,fasteners
order-0076-2,cust-0076,2025-10-20,10310.08,measuring
order-0076-3,cust-0076,2026-04-04,3434.96,fasteners
order-0077-1,cust-0077,2025-08-03,7251.17,power_tools
order-0077-2,cust-0077,2025-11-01,4275.46,measuring
order-0077-3,cust-0077,2026-04-15,4575.31,anchors
order-0078-1,cust-0078,2025-07-13,3117.82,anchors
order-0079-1,cust-0079,2025-05-19,3241.24,fasteners
order-0079-2,cust-0079,2026-03-26,3767.85,power_tools
order-0080-1,cust-0080,2026-02-27,2749.75,fasteners
order-0080-2,cust-0080,2025-10-11,7034.68,firestop
order-0080-3,cust-0080,2025-12-31,10295.75,power_tools
order-0080-4,cust-0080,2026-01-02,10334.73,fasteners
order-0081-1,cust-0081,2025-08-22,10074.48,fasteners
order-0081-2,cust-0081,2026-03-18,11564.83,power_tools
order-0081-3,cust-0081,2025-11-12,3952.63,firestop
order-0081-4,cust-0081,2025-07-09,7996.62,firestop
order-0081-5,cust-0081,2025-09-23,4767.56,fasteners
order-0081-6,cust-0081,2026-02-11,9573.04,firestop
order-0082-1,cust-0082,2025-05-13,3213.47,firestop
order-0082-2,cust-0082,2026-01-05,3382.48,power_tools
order-0082-3,cust-0082,2025-06-20,1997.83,anchors
order-0083-1,cust-0083,2026-01-23,6876.44,measuring
order-0084-1,cust-0084,2026-04-09,9084.93,power_tools
order-0084-2,cust-0084,2025-07-07,8145.0,firestop
order-0084-3,cust-0084,2025-11-12,6508.91,firestop
order-0084-4,cust-0084,2025-05-18,3197.03,firestop
order-0084-5,cust-0084,2026-04-22,9680.16,anchors
order-0085-1,cust-0085,2025-11-03,8769.88,anchors
order-0085-2,cust-0085,2025-09-15,9001.08,measuring
order-0085-3,cust-0085,2025-11-21,9572.91,measuring
order-0085-4,cust-0085,2025-09-15,9021.08,measuring
order-0085-5,cust-0085,2025-08-31,5718.9,measuring
order-0085-6,cust-0085,2026-03-21,8402.74,power_tools
order-0086-1,cust-0086,2026-03-15,17090.23,fasteners
order-0086-2,cust-0086,2025-11-27,8981.84,fasteners
order-0087-1,cust-0087,2025-05-25,6153.57,fasteners
order-0087-2,cust-0087,2026-04-03,2085.45,firestop
order-0087-3,cust-0087,2026-01-14,3049.83,fasteners
order-0087-4,cust-0087,2025-07-17,5082.82,firestop
order-0087-5,cust-0087,2026-02-17,5803.03,anchors
order-0087-6,cust-0087,2026-01-06,5401.96,anchors
order-0088-1,cust-0088,2025-09-20,19915.55,firestop
order-0088-2,cust-0088,2026-04-18,17605.42,power_tools
order-0089-1,cust-0089,2025-07-09,18560.31,power_tools
order-0089-2,cust-0089,2025-08-16,9856.63,power_tools
order-0090-1,cust-0090,2025-10-05,3174.13,firestop
order-0090-2,cust-0090,2025-10-25,2669.48,anchors
order-0090-3,cust-0090,2025-12-24,4610.77,measuring
order-0090-4,cust-0090,2025-05-31,4787.84,anchors
order-0091-1,cust-0091,2026-01-12,9091.34,firestop
order-0091-2,cust-0091,2026-03-20,2543.41,anchors
order-0091-3,cust-0091,2025-10-29,8152.17,fasteners
order-0092-1,cust-0092,2026-01-22,5957.82,measuring
order-0092-2,cust-0092,2025-09-02,3541.7,power_tools
order-0092-3,cust-0092,2026-02-03,5549.36,anchors
order-0092-4,cust-0092,2026-01-02,5018.02,measuring
order-0092-5,cust-0092,2025-06-02,3613.43,measuring
order-0093-1,cust-0093,2026-03-26,7018.07,anchors
order-0093-2,cust-0093,2025-11-08,24401.92,firestop
order-0093-3,cust-0093,2025-10-24,19373.41,firestop
order-0093-4,cust-0093,2025-05-18,7467.1,anchors
order-0093-5,cust-0093,2025-05-11,24078.51,fasteners
order-0093-6,cust-0093,2026-02-11,11032.47,fasteners
order-0094-1,cust-0094,2025-08-17,3445.06,firestop
order-0094-2,cust-0094,2025-10-11,12933.59,measuring
order-0094-3,cust-0094,2026-02-16,11952.57,power_tools
order-0094-4,cust-0094,2025-10-14,6888.93,anchors
order-0094-5,cust-0094,2025-06-07,11471.73,anchors
order-0094-6,cust-0094,2025-05-09,8113.74,measuring
order-0095-1,cust-0095,2025-09-14,9834.53,firestop
order-0095-2,cust-0095,2025-08-09,7892.25,fasteners
order-0095-3,cust-0095,2026-03-23,13956.9,fasteners
order-0095-4,cust-0095,2025-05-12,5708.19,firestop
order-0095-5,cust-0095,2025-05-28,4163.17,anchors
order-0095-6,cust-0095,2025-07-19,7782.22,measuring
order-0096-1,cust-0096,2026-04-26,5337.78,anchors
order-0096-2,cust-0096,2026-03-24,14121.8,anchors
order-0096-3,cust-0096,2025-10-31,15816.91,firestop
order-0097-1,cust-0097,2025-05-30,9090.64,anchors
order-0098-1,cust-0098,2025-11-10,794.48,fasteners
order-0098-2,cust-0098,2025-08-19,645.49,measuring
order-0098-3,cust-0098,2025-10-14,926.65,power_tools
order-0098-4,cust-0098,2025-12-05,721.96,anchors
order-0098-5,cust-0098,2026-03-11,1937.96,measuring
order-0098-6,cust-0098,2026-03-20,1662.98,anchors
order-0099-1,cust-0099,2026-03-01,8715.19,power_tools
order-0099-2,cust-0099,2025-11-07,18420.23,anchors
order-0100-1,cust-0100,2026-03-03,1919.19,fasteners
order-0100-2,cust-0100,2025-07-01,5973.38,power_tools
order-0100-3,cust-0100,2026-04-12,3645.42,power_tools
order-0101-1,cust-0101,2026-03-01,3818.83,power_tools
order-0101-2,cust-0101,2025-09-10,4586.5,firestop
order-0101-3,cust-0101,2025-11-21,2314.66,anchors
order-0102-1,cust-0102,2025-12-31,10632.63,anchors
order-0102-2,cust-0102,2026-01-08,12704.83,firestop
order-0103-1,cust-0103,2026-03-27,8086.87,power_tools
order-0103-2,cust-0103,2026-02-09,6612.1,anchors
order-0103-3,cust-0103,2026-02-26,5456.08,measuring
order-0103-4,cust-0103,2025-05-14,9857.89,fasteners
order-0103-5,cust-0103,2026-04-05,3898.34,measuring
order-0104-1,cust-0104,2025-07-30,7848.65,firestop
order-0104-2,cust-0104,2025-10-21,8874.62,anchors
order-0104-3,cust-0104,2026-04-24,5887.89,fasteners
order-0104-4,cust-0104,2025-07-09,14600.06,fasteners
order-0105-1,cust-0105,2025-08-14,8265.22,measuring
order-0105-2,cust-0105,2025-11-20,12862.3,firestop
order-0105-3,cust-0105,2025-08-16,15301.48,measuring
order-0105-4,cust-0105,2025-10-19,11829.69,power_tools
order-0105-5,cust-0105,2025-08-27,11661.85,measuring
order-0105-6,cust-0105,2026-04-22,9247.01,power_tools
order-0106-1,cust-0106,2026-02-28,6183.72,measuring
order-0106-2,cust-0106,2025-07-10,7334.22,power_tools
order-0106-3,cust-0106,2026-04-11,13684.4,power_tools
order-0107-1,cust-0107,2025-10-23,17242.95,measuring
order-0107-2,cust-0107,2025-08-12,17112.99,power_tools
order-0107-3,cust-0107,2026-03-15,22976.18,anchors
order-0107-4,cust-0107,2025-10-08,7017.27,measuring
order-0107-5,cust-0107,2025-08-14,7199.8,anchors
order-0107-6,cust-0107,2025-07-05,11710.61,fasteners
order-0108-1,cust-0108,2025-07-22,10347.47,anchors
order-0108-2,cust-0108,2026-02-22,13640.9,firestop
order-0108-3,cust-0108,2025-11-09,14774.55,firestop
order-0108-4,cust-0108,2025-09-24,17171.9,anchors
order-0109-1,cust-0109,2025-07-11,5131.01,anchors
order-0109-2,cust-0109,2026-03-04,6528.76,power_tools
order-0110-1,cust-0110,2025-07-14,7014.52,firestop
order-0110-2,cust-0110,2025-05-15,4558.97,anchors
order-0110-3,cust-0110,2026-04-13,17670.58,measuring
order-0110-4,cust-0110,2026-02-04,14650.01,anchors
order-0110-5,cust-0110,2026-03-05,13681.48,fasteners
order-0110-6,cust-0110,2025-05-16,6662.75,measuring
order-0111-1,cust-0111,2026-01-12,7000.68,power_tools
order-0111-2,cust-0111,2025-09-13,10348.29,power_tools
order-0111-3,cust-0111,2025-09-26,20221.9,firestop
order-0111-4,cust-0111,2025-10-30,9474.21,fasteners
order-0111-5,cust-0111,2025-11-18,5585.71,firestop
order-0112-1,cust-0112,2025-11-14,1826.69,measuring
order-0112-2,cust-0112,2025-12-14,1220.24,fasteners
order-0112-3,cust-0112,2026-03-03,1291.03,power_tools
order-0112-4,cust-0112,2025-11-25,1861.16,fasteners
order-0112-5,cust-0112,2025-08-15,1815.51,anchors
order-0113-1,cust-0113,2025-07-25,11445.67,fasteners
order-0114-1,cust-0114,2025-06-14,9066.92,firestop
order-0114-2,cust-0114,2025-07-07,9843.17,firestop
order-0114-3,cust-0114,2025-12-14,3808.82,power_tools
order-0114-4,cust-0114,2025-12-12,5329.57,fasteners
order-0114-5,cust-0114,2025-09-13,8323.19,anchors
order-0115-1,cust-0115,2025-12-09,10567.71,power_tools
order-0116-1,cust-0116,2026-01-15,11976.33,measuring
order-0116-2,cust-0116,2025-09-13,15894.35,measuring
order-0116-3,cust-0116,2026-03-03,8869.54,measuring
order-0116-4,cust-0116,2025-05-17,12082.0,fasteners
order-0116-5,cust-0116,2025-09-12,11704.91,anchors
order-0116-6,cust-0116,2026-05-01,20868.61,measuring
order-0117-1,cust-0117,2026-03-05,8439.39,fasteners
order-0117-2,cust-0117,2025-08-09,4214.25,fasteners
order-0117-3,cust-0117,2025-12-10,5834.39,power_tools
order-0118-1,cust-0118,2025-08-05,5129.55,fasteners
order-0119-1,cust-0119,2025-09-08,7984.59,power_tools
order-0119-2,cust-0119,2025-11-06,11766.62,measuring
order-0119-3,cust-0119,2026-04-16,7107.61,fasteners
order-0119-4,cust-0119,2025-08-17,11498.9,anchors
order-0120-1,cust-0120,2025-10-24,5594.85,measuring
order-0120-2,cust-0120,2026-03-06,12473.36,measuring
order-0121-1,cust-0121,2026-01-31,1982.18,anchors
order-0121-2,cust-0121,2026-02-01,2106.77,firestop
order-0121-3,cust-0121,2026-04-18,930.11,power_tools
order-0121-4,cust-0121,2026-04-19,1097.95,firestop
order-0121-5,cust-0121,2025-10-31,1843.8,fasteners
order-0122-1,cust-0122,2025-07-13,4909.97,anchors
order-0122-2,cust-0122,2026-04-28,18876.79,power_tools
order-0122-3,cust-0122,2026-01-27,15982.56,firestop
order-0122-4,cust-0122,2026-04-25,19564.48,measuring
order-0123-1,cust-0123,2026-04-19,5455.51,fasteners
order-0123-2,cust-0123,2026-01-06,13602.92,power_tools
order-0123-3,cust-0123,2025-12-30,9099.35,anchors
order-0123-4,cust-0123,2026-01-05,5752.52,power_tools
order-0123-5,cust-0123,2026-01-09,7777.27,measuring
order-0123-6,cust-0123,2025-06-08,12166.48,measuring
order-0124-1,cust-0124,2025-09-20,4261.0,measuring
order-0124-2,cust-0124,2025-08-30,4653.33,fasteners
order-0124-3,cust-0124,2025-09-17,5559.27,fasteners
order-0124-4,cust-0124,2025-05-21,7653.12,power_tools
order-0124-5,cust-0124,2026-02-06,4356.26,fasteners
order-0124-6,cust-0124,2026-03-20,5642.63,firestop
order-0125-1,cust-0125,2025-07-29,7681.53,fasteners
order-0125-2,cust-0125,2026-04-22,10738.26,power_tools
order-0125-3,cust-0125,2025-11-24,9828.87,measuring
order-0126-1,cust-0126,2025-12-05,10923.59,anchors
order-0126-2,cust-0126,2025-08-07,13104.8,power_tools
order-0127-1,cust-0127,2025-08-05,6608.6,anchors
order-0127-2,cust-0127,2026-04-06,5289.88,firestop
order-0127-3,cust-0127,2025-11-01,7323.0,anchors
order-0127-4,cust-0127,2025-06-27,5677.46,anchors
order-0128-1,cust-0128,2025-10-09,4631.68,fasteners
order-0128-2,cust-0128,2026-03-17,3872.35,anchors
order-0129-1,cust-0129,2025-11-26,7558.0,measuring
order-0130-1,cust-0130,2025-06-11,3121.0,power_tools
order-0130-2,cust-0130,2025-11-14,8594.46,anchors
order-0130-3,cust-0130,2025-06-25,11159.42,firestop
order-0130-4,cust-0130,2026-03-22,5271.96,fasteners
order-0130-5,cust-0130,2025-09-30,4536.61,anchors
order-0131-1,cust-0131,2025-09-18,11493.61,firestop
order-0131-2,cust-0131,2026-02-06,10247.09,power_tools
