id,customer_id,salesperson_id,visited_at,outcome,notes
visit-0023-4,cust-0023,sp-kl-central,2026-04-09,order,Synthetic order visit.
visit-0024-1,cust-0024,sp-kl-central,2025-12-12,order,Synthetic order visit.
visit-0024-2,cust-0024,sp-kl-central,2026-02-09,follow_up,Synthetic follow up visit.
visit-0024-3,cust-0024,sp-kl-central,2026-01-09,follow_up,Synthetic follow up visit.
visit-0024-4,cust-0024,sp-kl-central,2025-11-06,order,Synthetic order visit.
visit-0025-1,cust-0025,sp-kl-central,2025-09-18,follow_up,Synthetic follow up visit.
visit-0025-2,cust-0025,sp-kl-central,2025-11-24,follow_up,Synthetic follow up visit.
visit-0025-3,cust-0025,sp-kl-central,2025-12-25,order,Synthetic order visit.
visit-0026-1,cust-0026,sp-kl-central,2026-02-14,closed,Synthetic closed visit.
visit-0026-2,cust-0026,sp-kl-central,2025-10-21,closed,Synthetic closed visit.
visit-0026-3,cust-0026,sp-kl-central,2026-01-30,follow_up,Synthetic follow up visit.
visit-0027-1,cust-0027,sp-kl-central,2026-01-05,follow_up,Synthetic follow up visit.
visit-0028-1,cust-0028,sp-kl-central,2026-04-15,order,Synthetic order visit.
visit-0029-1,cust-0029,sp-kl-central,2026-04-06,order,Synthetic order visit.
visit-0029-2,cust-0029,sp-kl-central,2025-11-23,follow_up,Synthetic follow up visit.
visit-0029-3,cust-0029,sp-kl-central,2025-10-09,no_interest,Synthetic no interest visit.
visit-0029-4,cust-0029,sp-kl-central,2025-10-30,follow_up,Synthetic follow up visit.
visit-0030-1,cust-0030,sp-kl-central,2025-12-06,order,Synthetic order visit.
visit-0030-2,cust-0030,sp-kl-central,2026-03-29,closed,Synthetic closed visit.
visit-0030-3,cust-0030,sp-kl-central,2026-02-18,closed,Synthetic closed visit.
visit-0031-1,cust-0031,sp-kl-central,2026-03-26,order,Synthetic order visit.
visit-0031-2,cust-0031,sp-kl-central,2025-12-28,order,Synthetic order visit.
visit-0031-3,cust-0031,sp-kl-central,2026-03-13,order,Synthetic order visit.
visit-0031-4,cust-0031,sp-kl-central,2025-11-24,no_interest,Synthetic no interest visit.
visit-0031-5,cust-0031,sp-kl-central,2025-11-04,follow_up,Synthetic follow up visit.
visit-0032-1,cust-0032,sp-kl-central,2026-02-06,closed,Synthetic closed visit.
visit-0032-2,cust-0032,sp-kl-central,2026-04-09,follow_up,Synthetic follow up visit.
visit-0032-3,cust-0032,sp-kl-central,2025-10-25,follow_up,Synthetic follow up visit.
visit-0032-4,cust-0032,sp-kl-central,2025-12-13,follow_up,Synthetic follow up visit.
visit-0032-5,cust-0032,sp-kl-central,2025-12-23,follow_up,Synthetic follow up visit.
visit-0033-1,cust-0033,sp-kl-central,2026-04-27,follow_up,Synthetic follow up visit.
visit-0033-2,cust-0033,sp-kl-central,2026-01-31,order,Synthetic order visit.
visit-0034-1,cust-0034,sp-kl-central,2025-11-10,follow_up,Synthetic follow up visit.
visit-0034-2,cust-0034,sp-kl-central,2025-10-03,follow_up,Synthetic follow up visit.
visit-0034-3,cust-0034,sp-kl-central,2026-03-13,order,Synthetic order visit.
visit-0034-4,cust-0034,sp-kl-central,2026-01-19,no_interest,Synthetic no interest visit.
visit-0035-1,cust-0035,sp-kl-central,2026-04-22,closed,Synthetic closed visit.
visit-0035-2,cust-0035,sp-kl-central,2025-12-29,no_interest,Synthetic no interest visit.
visit-0035-3,cust-0035,sp-kl-central,2026-01-09,closed,Synthetic closed visit.
visit-0035-4,cust-0035,sp-kl-central,2026-03-18,follow_up,Synthetic follow up visit.
visit-0035-5,cust-0035,sp-kl-central,2026-02-26,follow_up,Synthetic follow up visit.
visit-0036-1,cust-0036,sp-kl-central,2025-12-03,order,Synthetic order visit.
visit-0036-2,cust-0036,sp-kl-central,2026-04-10,closed,Synthetic closed visit.
visit-0036-3,cust-0036,sp-kl-central,2026-03-28,order,Synthetic order visit.
visit-0036-4,cust-0036,sp-kl-central,2025-12-05,follow_up,Synthetic follow up visit.
visit-0036-5,cust-0036,sp-kl-central,2025-09-18,order,Synthetic order visit.
visit-0037-1,cust-0037,sp-kl-central,2026-01-20,follow_up,Synthetic follow up visit.
visit-0037-2,cust-0037,sp-kl-central,2026-01-10,no_interest,Synthetic no interest visit.
visit-0038-1,cust-0038,sp-kl-central,2026-04-05,follow_up,Synthetic follow up visit.
visit-0039-1,cust-0039,sp-kl-central,2025-12-19,order,Synthetic order visit.
visit-0039-2,cust-0039,sp-kl-central,2026-04-06,order,Synthetic order visit.
visit-0039-3,cust-0039,sp-kl-central,2025-12-06,follow_up,Synthetic follow up visit.
visit-0039-4,cust-0039,sp-kl-central,2025-11-20,order,Synthetic order visit.
visit-0040-1,cust-0040,sp-kl-central,2025-09-25,order,Synthetic order visit.
visit-0041-1,cust-0041,sp-kl-central,2025-12-21,order,Synthetic order visit.
visit-0041-2,cust-0041,sp-kl-central,2026-03-16,order,Synthetic order visit.
visit-0042-1,cust-0042,sp-kl-central,2026-03-01,no_interest,Synthetic no interest visit.
visit-0042-2,cust-0042,sp-kl-central,2025-11-23,no_interest,Synthetic no interest visit.
visit-0042-3,cust-0042,sp-kl-central,2025-09-19,follow_up,Synthetic follow up visit.
visit-0043-1,cust-0043,sp-kl-central,2026-03-28,no_interest,Synthetic no interest visit.
visit-0043-2,cust-0043,sp-kl-central,2025-09-29,order,Synthetic order visit.
visit-0043-3,cust-0043,sp-kl-central,2026-03-09,follow_up,Synthetic follow up visit.
visit-0043-4,cust-0043,sp-kl-central,2026-01-11,follow_up,Synthetic follow up visit.
visit-0044-1,cust-0044,sp-kl-central,2026-04-26,follow_up,Synthetic follow up visit.
visit-0044-2,cust-0044,sp-kl-central,2025-09-21,order,Synthetic order visit.
visit-0045-1,cust-0045,sp-kl-central,2026-03-20,order,Synthetic order visit.
visit-0045-2,cust-0045,sp-kl-central,2026-03-17,order,Synthetic order visit.
visit-0045-3,cust-0045,sp-kl-central,2026-03-19,follow_up,Synthetic follow up visit.
visit-0045-4,cust-0045,sp-kl-central,2026-04-28,order,Synthetic order visit.
visit-0046-1,cust-0046,sp-kl-central,2026-04-05,follow_up,Synthetic follow up visit.
visit-0046-2,cust-0046,sp-kl-central,2025-10-24,follow_up,Synthetic follow up visit.
visit-0046-3,cust-0046,sp-kl-central,2025-09-18,follow_up,Synthetic follow up visit.
visit-0046-4,cust-0046,sp-kl-central,2025-11-25,order,Synthetic order visit.
visit-0046-5,cust-0046,sp-kl-central,2026-04-21,follow_up,Synthetic follow up visit.
visit-0047-1,cust-0047,sp-kl-central,2025-10-25,order,Synthetic order visit.
visit-0047-2,cust-0047,sp-kl-central,2025-10-17,no_interest,Synthetic no interest visit.
visit-0048-1,cust-0048,sp-kl-central,2026-03-16,follow_up,Synthetic follow up visit.
visit-0048-2,cust-0048,sp-kl-central,2025-11-05,order,Synthetic order visit.
visit-0048-3,cust-0048,sp-kl-central,2025-10-10,order,Synthetic order visit.
visit-0048-4,cust-0048,sp-kl-central,2026-01-23,order,Synthetic order visit.
visit-0049-1,cust-0049,sp-kl-central,2026-03-16,order,Synthetic order visit.
visit-0049-2,cust-0049,sp-kl-central,2025-10-02,follow_up,Synthetic follow up visit.
visit-0049-3,cust-0049,sp-kl-central,2026-02-19,follow_up,Synthetic follow up visit.
visit-0049-4,cust-0049,sp-kl-central,2025-11-10,no_interest,Synthetic no interest visit.
visit-0050-1,cust-0050,sp-kl-central,2025-12-14,follow_up,Synthetic follow up visit.
visit-0050-2,cust-0050,sp-kl-central,2026-04-25,order,Synthetic order visit.
visit-0050-3,cust-0050,sp-kl-central,2025-12-08,order,Synthetic order visit.
visit-0050-4,cust-0050,sp-kl-central,2025-12-19,order,Synthetic order visit.
visit-0051-1,cust-0051,sp-kl-central,2025-10-02,follow_up,Synthetic follow up visit.
visit-0051-2,cust-0051,sp-kl-central,2026-03-30,order,Synthetic order visit.
visit-0051-3,cust-0051,sp-kl-central,2025-11-25,no_interest,Synthetic no interest visit.
visit-0052-1,cust-0052,sp-kl-central,2025-10-06,order,Synthetic order visit.
visit-0052-2,cust-0052,sp-kl-central,2025-11-27,follow_up,Synthetic follow up visit.
visit-0052-3,cust-0052,sp-kl-central,2026-01-03,no_interest,Synthetic no interest visit.
visit-0052-4,cust-0052,sp-kl-central,2026-02-22,order,Synthetic order visit.
visit-0052-5,cust-0052,sp-kl-central,2025-10-10,follow_up,Synthetic follow up visit.
visit-0053-1,cust-0053,sp-kl-central,2025-11-30,closed,Synthetic closed visit.
visit-0053-2,cust-0053,sp-kl-central,2025-09-20,follow_up,Synthetic follow up visit.
visit-0054-1,cust-0054,sp-kl-central,2025-12-30,order,Synthetic order visit.
visit-0054-2,cust-0054,sp-kl-central,2026-02-07,order,Synthetic order visit.
visit-0055-1,cust-0055,sp-kl-central,2026-01-06,order,Synthetic order visit.
visit-0055-2,cust-0055,sp-kl-central,2026-02-01,follow_up,Synthetic follow up visit.
visit-0056-1,cust-0056,sp-kl-central,2025-10-31,follow_up,Synthetic follow up visit.
visit-0056-2,cust-0056,sp-kl-central,2025-11-12,order,Synthetic order visit.
visit-0056-3,cust-0056,sp-kl-central,2026-04-03,order,Synthetic order visit.
visit-0056-4,cust-0056,sp-kl-central,2025-12-16,order,Synthetic order visit.
visit-0056-5,cust-0056,sp-kl-central,2026-01-19,no_interest,Synthetic no interest visit.
visit-0057-1,cust-0057,sp-kl-central,2026-04-04,order,Synthetic order visit.
visit-0058-1,cust-0058,sp-kl-central,2025-12-02,closed,Synthetic closed visit.
visit-0058-2,cust-0058,sp-kl-central,2026-02-18,no_interest,Synthetic no interest visit.
visit-0058-3,cust-0058,sp-kl-central,2025-11-24,order,Synthetic order visit.
visit-0059-1,cust-0059,sp-kl-central,2026-01-25,order,Synthetic order visit.
visit-0059-2,cust-0059,sp-kl-central,2025-09-19,closed,Synthetic closed visit.
visit-0060-1,cust-0060,sp-kl-central,2026-01-17,order,Synthetic order visit.
visit-0060-2,cust-0060,sp-kl-central,2026-04-16,no_interest,Synthetic no interest visit.
visit-0060-3,cust-0060,sp-kl-central,2026-01-21,order,Synthetic order visit.
visit-0060-4,cust-0060,sp-kl-central,2025-11-18,no_interest,Synthetic no interest visit.
visit-0060-5,cust-0060,sp-kl-central,2025-10-28,order,Synthetic order visit.
visit-0061-1,cust-0061,sp-kl-central,2026-03-08,no_interest,Synthetic no interest visit.
visit-0061-2,cust-0061,sp-kl-central,2025-11-11,no_interest,Synthetic no interest visit.
visit-0061-3,cust-0061,sp-kl-central,2026-01-01,order,Synthetic order visit.
visit-0061-4,cust-0061,sp-kl-central,2025-09-19,no_interest,Synthetic no interest visit.
visit-0062-1,cust-0062,sp-kl-central,2026-02-25,follow_up,Synthetic follow up visit.
visit-0062-2,cust-0062,sp-kl-central,2025-09-18,order,Synthetic order visit.
visit-0063-1,cust-0063,sp-kl-central,2026-02-28,order,Synthetic order visit.
visit-0063-2,cust-0063,sp-kl-central,2026-03-12,order,Synthetic order visit.
visit-0064-1,cust-0064,sp-kl-central,2025-09-24,order,Synthetic order visit.
visit-0064-2,cust-0064,sp-kl-central,2026-04-25,follow_up,Synthetic follow up visit.
visit-0065-1,cust-0065,sp-kl-central,2026-04-07,order,Synthetic order visit.
visit-0065-2,cust-0065,sp-kl-central,2026-01-31,order,Synthetic order visit.
visit-0065-3,cust-0065,sp-kl-central,2026-03-12,no_interest,Synthetic no interest visit.
visit-0065-4,cust-0065,sp-kl-central,2025-11-03,follow_up,Synthetic follow up visit.
visit-0065-5,cust-0065,sp-kl-central,2025-11-07,no_interest,Synthetic no interest visit.
visit-0066-1,cust-0066,sp-kl-central,2026-04-05,order,Synthetic order visit.
visit-0066-2,cust-0066,sp-kl-central,2026-03-21,follow_up,Synthetic follow up visit.
visit-0066-3,cust-0066,sp-kl-central,2025-11-29,follow_up,Synthetic follow up visit.
visit-0066-4,cust-0066,sp-kl-central,2025-09-21,order,Synthetic order visit.
visit-0067-1,cust-0067,sp-kl-central,2025-09-15,order,Synthetic order visit.
visit-0068-1,cust-0068,sp-kl-central,2026-03-20,follow_up,Synthetic follow up visit.
visit-0068-2,cust-0068,sp-kl-central,2026-03-02,follow_up,Synthetic follow up visit.
visit-0068-3,cust-0068,sp-kl-central,2026-02-01,no_interest,Synthetic no interest visit.
visit-0068-4,cust-0068,sp-kl-central,2026-03-18,no_interest,Synthetic no interest visit.
visit-0069-1,cust-0069,sp-kl-central,2026-02-05,follow_up,Synthetic follow up visit.
visit-0069-2,cust-0069,sp-kl-central,2025-11-17,order,Synthetic order visit.
visit-0069-3,cust-0069,sp-kl-central,2026-03-20,order,Synthetic order visit.
visit-0069-4,cust-0069,sp-kl-central,2026-03-26,order,Synthetic order visit.
visit-0070-1,cust-0070,sp-kl-central,2025-11-27,follow_up,Synthetic follow up visit.
visit-0070-2,cust-0070,sp-kl-central,2025-12-10,no_interest,Synthetic no interest visit.
visit-0070-3,cust-0070,sp-kl-central,2025-11-25,follow_up,Synthetic follow up visit.
visit-0071-1,cust-0071,sp-kl-central,2026-01-28,follow_up,Synthetic follow up visit.
visit-0071-2,cust-0071,sp-kl-central,2026-01-08,follow_up,Synthetic follow up visit.
visit-0071-3,cust-0071,sp-kl-central,2025-10-15,follow_up,Synthetic follow up visit.
visit-0071-4,cust-0071,sp-kl-central,2025-09-19,no_interest,Synthetic no interest visit.
visit-0072-1,cust-0072,sp-kl-central,2026-03-09,follow_up,Synthetic follow up visit.
visit-0072-2,cust-0072,sp-kl-central,2025-12-26,follow_up,Synthetic follow up visit.
visit-0072-3,cust-0072,sp-kl-central,2026-03-19,closed,Synthetic closed visit.
visit-0072-4,cust-0072,sp-kl-central,2026-02-26,order,Synthetic order visit.
visit-0072-5,cust-0072,sp-kl-central,2025-10-21,order,Synthetic order visit.
visit-0073-1,cust-0073,sp-kl-central,2026-03-23,order,Synthetic order visit.
visit-0073-2,cust-0073,sp-kl-central,2025-11-26,no_interest,Synthetic no interest visit.
visit-0074-1,cust-0074,sp-kl-central,2026-04-28,follow_up,Synthetic follow up visit.
visit-0075-1,cust-0075,sp-kl-central,2026-04-07,order,Synthetic order visit.
visit-0075-2,cust-0075,sp-kl-central,2025-10-24,order,Synthetic order visit.
visit-0076-1,cust-0076,sp-kl-central,2026-03-19,order,Synthetic order visit.
visit-0076-2,cust-0076,sp-kl-central,2026-02-21,follow_up,Synthetic follow up visit.
visit-0076-3,cust-0076,sp-kl-central,2026-01-20,follow_up,Synthetic follow up visit.
visit-0076-4,cust-0076,sp-kl-central,2026-01-26,order,Synthetic order visit.
visit-0076-5,cust-0076,sp-kl-central,2026-04-11,order,Synthetic order visit.
visit-0077-1,cust-0077,sp-kl-central,2025-10-12,no_interest,Synthetic no interest visit.
visit-0078-1,cust-0078,sp-kl-central,2026-01-24,order,Synthetic order visit.
visit-0078-2,cust-0078,sp-kl-central,2025-12-30,no_interest,Synthetic no interest visit.
visit-0078-3,cust-0078,sp-kl-central,2025-10-19,follow_up,Synthetic follow up visit.
visit-0078-4,cust-0078,sp-kl-central,2026-04-15,order,Synthetic order visit.
visit-0078-5,cust-0078,sp-kl-central,2025-11-22,follow_up,Synthetic follow up visit.
visit-0079-1,cust-0079,sp-kl-central,2025-11-05,order,Synthetic order visit.
visit-0079-2,cust-0079,sp-kl-central,2026-02-07,follow_up,Synthetic follow up visit.
visit-0079-3,cust-0079,sp-kl-central,2026-04-03,order,Synthetic order visit.
visit-0079-4,cust-0079,sp-kl-central,2025-09-13,order,Synthetic order visit.
visit-0080-1,cust-0080,sp-kl-central,2025-12-27,order,Synthetic order visit.
visit-0080-2,cust-0080,sp-kl-central,2026-04-16,order,Synthetic order visit.
visit-0080-3,cust-0080,sp-kl-central,2026-03-12,no_interest,Synthetic no interest visit.
visit-0080-4,cust-0080,sp-kl-central,2025-10-05,follow_up,Synthetic follow up visit.
visit-0080-5,cust-0080,sp-kl-central,2026-04-04,follow_up,Synthetic follow up visit.
visit-0081-1,cust-0081,sp-ampang,2026-01-03,closed,Synthetic closed visit.
visit-0081-2,cust-0081,sp-ampang,2026-02-04,order,Synthetic order visit.
visit-0081-3,cust-0081,sp-ampang,2026-04-06,follow_up,Synthetic follow up visit.
visit-0081-4,cust-0081,sp-ampang,2026-03-01,follow_up,Synthetic follow up visit.
visit-0082-1,cust-0082,sp-ampang,2025-10-08,closed,Synthetic closed visit.
visit-0082-2,cust-0082,sp-ampang,2026-03-28,order,Synthetic order visit.
visit-0083-1,cust-0083,sp-ampang,2025-12-27,closed,Synthetic closed visit.
visit-0084-1,cust-0084,sp-ampang,2026-01-30,order,Synthetic order visit.
visit-0084-2,cust-0084,sp-ampang,2026-01-13,follow_up,Synthetic follow up visit.
visit-0084-3,cust-0084,sp-ampang,2026-03-07,no_interest,Synthetic no interest visit.
visit-0084-4,cust-0084,sp-ampang,2026-02-01,no_interest,Synthetic no interest visit.
visit-0084-5,cust-0084,sp-ampang,2025-09-28,follow_up,Synthetic follow up visit.
visit-0085-1,cust-0085,sp-ampang,2025-09-30,order,Synthetic order visit.
visit-0086-1,cust-0086,sp-ampang,2026-01-05,follow_up,Synthetic follow up visit.
visit-0086-2,cust-0086,sp-ampang,2026-02-09,no_interest,Synthetic no interest visit.
visit-0086-3,cust-0086,sp-ampang,2026-03-23,no_interest,Synthetic no interest visit.
visit-0086-4,cust-0086,sp-ampang,2026-01-23,follow_up,Synthetic follow up visit.
visit-0086-5,cust-0086,sp-ampang,2025-09-20,closed,Synthetic closed visit.
visit-0087-1,cust-0087,sp-ampang,2025-09-25,order,Synthetic order visit.
visit-0088-1,cust-0088,sp-ampang,2025-11-06,follow_up,Synthetic follow up visit.
visit-0089-1,cust-0089,sp-ampang,2026-02-03,order,Synthetic order visit.
visit-0089-2,cust-0089,sp-ampang,2025-10-08,order,Synthetic order visit.
visit-0090-1,cust-0090,sp-ampang,2025-10-31,closed,Synthetic closed visit.
visit-0090-2,cust-0090,sp-ampang,2025-11-13,order,Synthetic order visit.
visit-0090-3,cust-0090,sp-ampang,2026-01-06,follow_up,Synthetic follow up visit.
visit-0090-4,cust-0090,sp-ampang,2025-12-17,order,Synthetic order visit.
visit-0091-1,cust-0091,sp-ampang,2026-03-03,follow_up,Synthetic follow up visit.
visit-0091-2,cust-0091,sp-ampang,2026-04-22,follow_up,Synthetic follow up visit.
visit-0091-3,cust-0091,sp-ampang,2025-12-16,follow_up,Synthetic follow up visit.
visit-0091-4,cust-0091,sp-ampang,2025-10-06,closed,Synthetic closed visit.
visit-0092-1,cust-0092,sp-ampang,2026-01-10,follow_up,Synthetic follow up visit.
visit-0092-2,cust-0092,sp-ampang,2025-10-26,follow_up,Synthetic follow up visit.
visit-0092-3,cust-0092,sp-ampang,2025-11-27,follow_up,Synthetic follow up visit.
visit-0092-4,cust-0092,sp-ampang,2025-10-11,closed,Synthetic closed visit.
visit-0092-5,cust-0092,sp-ampang,2026-04-09,order,Synthetic order visit.
visit-0093-1,cust-0093,sp-ampang,2026-03-08,order,Synthetic order visit.
visit-0093-2,cust-0093,sp-ampang,2025-10-17,order,Synthetic order visit.
visit-0093-3,cust-0093,sp-ampang,2025-11-01,follow_up,Synthetic follow up visit.
visit-0093-4,cust-0093,sp-ampang,2026-04-24,order,Synthetic order visit.
visit-0093-5,cust-0093,sp-ampang,2026-03-07,follow_up,Synthetic follow up visit.
visit-0094-1,cust-0094,sp-ampang,2026-02-10,follow_up,Synthetic follow up visit.
visit-0094-2,cust-0094,sp-ampang,2025-12-17,order,Synthetic order visit.
visit-0094-3,cust-0094,sp-ampang,2025-10-13,follow_up,Synthetic follow up visit.
visit-0094-4,cust-0094,sp-ampang,2025-12-06,no_interest,Synthetic no interest visit.
visit-0094-5,cust-0094,sp-ampang,2026-03-21,no_interest,Synthetic no interest visit.
visit-0095-1,cust-0095,sp-ampang,2026-02-24,follow_up,Synthetic follow up visit.
visit-0095-2,cust-0095,sp-ampang,2025-12-11,closed,Synthetic closed visit.
visit-0095-3,cust-0095,sp-ampang,2026-02-04,follow_up,Synthetic follow up visit.
visit-0096-1,cust-0096,sp-ampang,2026-04-15,order,Synthetic order visit.
visit-0096-2,cust-0096,sp-ampang,2026-02-19,order,Synthetic order visit.
visit-0097-1,cust-0097,sp-ampang,2026-03-07,order,Synthetic order visit.
visit-0097-2,cust-0097,sp-ampang,2026-01-17,order,Synthetic order visit.
visit-0098-1,cust-0098,sp-ampang,2025-10-23,closed,Synthetic closed visit.
visit-0099-1,cust-0099,sp-ampang,2026-03-31,no_interest,Synthetic no interest visit.
visit-0099-2,cust-0099,sp-ampang,2026-02-17,order,Synthetic order visit.
visit-0099-3,cust-0099,sp-ampang,2025-11-20,no_interest,Synthetic no interest visit.
visit-0099-4,cust-0099,sp-ampang,2025-10-27,follow_up,Synthetic follow up visit.
visit-0100-1,cust-0100,sp-ampang,2025-10-14,closed,Synthetic closed visit.
visit-0101-1,cust-0101,sp-ampang,2026-01-29,order,Synthetic order visit.
visit-0101-2,cust-0101,sp-ampang,2025-09-27,order,Synthetic order visit.
visit-0101-3,cust-0101,sp-ampang,2025-11-24,follow_up,Synthetic follow up visit.
visit-0101-4,cust-0101,sp-ampang,2025-11-05,order,Synthetic order visit.
visit-0101-5,cust-0101,sp-ampang,2025-09-29,order,Synthetic order visit.
visit-0102-1,cust-0102,sp-ampang,2026-04-29,follow_up,Synthetic follow up visit.
visit-0102-2,cust-0102,sp-ampang,2026-04-21,order,Synthetic order visit.
visit-0102-3,cust-0102,sp-ampang,2026-04-02,follow_up,Synthetic follow up visit.
visit-0102-4,cust-0102,sp-ampang,2025-09-26,order,Synthetic order visit.
visit-0102-5,cust-0102,sp-ampang,2025-09-20,closed,Synthetic closed visit.
visit-0103-1,cust-0103,sp-ampang,2025-10-16,closed,Synthetic closed visit.
visit-0103-2,cust-0103,sp-ampang,2025-11-16,order,Synthetic order visit.
visit-0104-1,cust-0104,sp-ampang,2026-01-28,follow_up,Synthetic follow up visit.
visit-0105-1,cust-0105,sp-ampang,2026-04-17,order,Synthetic order visit.
visit-0105-2,cust-0105,sp-ampang,2026-02-24,order,Synthetic order visit.
visit-0105-3,cust-0105,sp-ampang,2026-02-16,order,Synthetic order visit.
